OutcomeID,ReferralID,Resolution,ClosedAt,Notes
O3B22A46F,RFBD7997C,Case Opened,2025-08-23 18:55:26,
O09EC9955,R6056EAC1,Ineligible,2025-08-27 15:21:26,
O7D28560D,RADCEEDF6,Consult Completed,2025-08-08 17:47:26,
O39BF2BAE,R9BAAD8B3,Ineligible,2025-08-20 18:06:26,
O13536E89,R54F7815D,Referred Elsewhere,2025-08-05 01:39:26,
OCBF61BE5,R07FE23BD,Ineligible,2025-08-23 22:49:26,
OC0C16B5F,R293341B9,Referred Elsewhere,2025-08-15 02:21:26,
O2E359CD2,RC98B7A34,Case Opened,2025-08-30 10:10:26,
O54A980AC,RAA4FC7D0,Case Opened,2025-09-03 04:00:26,
OAF151CEB,R6986C145,Case Opened,2025-08-29 21:18:26,
O033941B9,RE7C833B3,Case Opened,2025-08-12 02:55:26,
O21C43127,R639A0DC0,Referred Elsewhere,2025-09-06 05:32:26,
OFF65CD69,R3D7E8BBF,Referred Elsewhere,2025-08-07 10:01:26,
OA03EF358,R98633ED7,Ineligible,2025-08-21 17:58:26,
OA219DE19,R7CEAB04B,Case Opened,2025-08-23 11:25:26,
OE0772865,RA5DABC21,Referred Elsewhere,2025-09-01 10:48:26,
OE38BD812,R1EEECEE9,Consult Completed,2025-08-18 07:02:26,
OB0EE7A17,R139A1880,Case Opened,2025-09-02 17:41:26,
OCC9CD9C7,R2307E2A8,Ineligible,2025-08-20 04:48:26,
O92ACE26B,R79660005,Consult Completed,2025-08-11 23:14:26,
OE5AE2014,RD7A02E2C,Ineligible,2025-09-04 19:08:26,
O7996DE58,R7E681D70,Ineligible,2025-08-18 19:09:26,
O19151B05,RBD351230,Consult Completed,2025-08-15 08:17:26,
O3B46EE87,R5CC229E9,Consult Completed,2025-09-10 21:16:26,
OD23AE06F,R82BFED5D,Case Opened,2025-08-23 12:28:26,
ODDE4695B,R4DF3FF73,Referred Elsewhere,2025-09-01 21:00:26,
O45A191A6,R71097B87,Referred Elsewhere,2025-08-18 03:42:26,
